ID,protocol id,index
4886,Income,1049
4887,Income,1060
4888,Income,1088
4889,Income,1109
4890,Income,1002
4891,Income,1030
4892,Income,1031
4893,Income,1027
4894,Income,1004
4895,Income,1006
4896,Income,1010
4897,Income,1067
4898,Income,1028
4899,Income,1042
4900,Income,1058
4901,Income,1135
4902,Income,1121
4903,Income,1139
4904,Income,1163
4905,Income,966
4906,Income,1010
4907,Income,1054
4908,Income,1020
4909,Income,1020
4910,Income,1022
4911,Income,1052
4912,Income,1076
4913,Income,1001
4914,Income,1043
4915,Income,1106
4916,Income,1070
4917,Income,1066
4918,Income,1134
4919,Income,1098
4920,Income,990
4921,Income,1007
4922,Income,1004
4923,Income,994
4924,Income,965
4925,Income,952
4926,Income,1010
4927,Income,1005
4928,Income,1008
4929,Income,1004
4930,Income,1034
4931,Income,1014
4932,Income,1038
4933,Income,1066
4934,Income,1075
4935,Income,968
4936,Income,979
4937,Income,981
4938,Income,979
4939,Income,991
4940,Income,994
4941,Income,1041
4942,Income,1043
4943,Income,1024
4944,Income,1028
4945,Income,1028
4946,Income,1000
4947,Income,997
4948,Income,1073
4949,Income,1116
4950,Income,980
4951,Income,979
4952,Income,975
4953,Income,975
4954,Income,969
4955,Income,967
4956,Income,974
4957,Income,974
4958,Income,978
4959,Income,980
4960,Income,982
4961,Income,1009
4962,Income,1022
4963,Income,1052
4964,Income,1078
4965,Income,967
4966,Income,985
4967,Income,976
4968,Income,985
4969,Income,989
4970,Income,999
4971,Income,993
4972,Income,984
4973,Income,992
4974,Income,1008
4975,Income,1013
4976,Income,1036
4977,Income,1061
4978,Income,1078
4979,Income,1119
4980,Income,1026
4981,Income,1031
4982,Income,1033
4983,Income,1040
4984,Income,1043
4985,Income,1050
4986,Income,1053
4987,Income,1055
4988,Income,1062
4989,Income,1067
4990,Income,1070
4991,Income,1075
4992,Income,1087
4993,Income,1098
4994,Income,1112
4995,Income,990
4996,Income,1001
4997,Income,993
4998,Income,1000
4999,Income,1005
5000,Income,1012
5001,Income,1004
5002,Income,999
5003,Income,1003
5004,Income,996
5005,Income,990
5006,Income,984
5007,Income,1003
5008,Income,1004
5009,Income,1020
5010,Income,1046
5011,Income,1048
5012,Income,1056
5013,Income,1063
5014,Income,1064
5015,Income,1071
5016,Income,1084
5017,Income,1092
5018,Income,1101
5019,Income,1115
5020,Income,1126
5021,Income,1138
5022,Income,1146
5023,Income,1164
5024,Income,1177
5025,Income,1157
5026,Income,1160
5027,Income,1187
5028,Income,1199
5029,Income,1199
5030,Income,1199
5031,Income,1221
5032,Income,1233
5033,Income,1234
5034,Income,1236
5035,Income,1264
5036,Income,1283
5037,Income,1283
5038,Income,1349
5039,Income,1370
5040,Income,897
5041,Income,912
5042,Income,919
5043,Income,936
5044,Income,923
5045,Income,860
5046,Income,871
5047,Income,887
5048,Income,925
5049,Income,954
5050,Income,994
5051,Income,1037
5052,Income,1083
5053,Income,1116
5054,Income,1120
5055,Income,992
5056,Income,964
5057,Income,965
5058,Income,958
5059,Income,971
5060,Income,960
5061,Income,966
5062,Income,1003
5063,Income,1038
5064,Income,1063
5065,Income,1058
5066,Income,1080
5067,Income,1109
5068,Income,1111
5069,Income,1106
5070,Income,883
5071,Income,922
5072,Income,926
5073,Income,937
5074,Income,923
5075,Income,844
5076,Income,854
5077,Income,857
5078,Income,900
5079,Income,938
5080,Income,984
5081,Income,1039
5082,Income,1107
5083,Income,1166
5084,Income,1135
5085,Income,950
5086,Income,1007
5087,Income,1000
5088,Income,1016
5089,Income,990
5090,Income,872
5091,Income,887
5092,Income,891
5093,Income,957
5094,Income,1016
5095,Income,1082
5096,Income,1166
5097,Income,1267
5098,Income,1346
5099,Income,1283
5100,Income,921
5101,Income,892
5102,Income,915
5103,Income,980
5104,Income,941
5105,Income,885
5106,Income,908
5107,Income,963
5108,Income,984
5109,Income,971
5110,Income,1104
5111,Income,1134
5112,Income,1045
5113,Income,959
5114,Income,1129
5115,Income,966
5116,Income,966
5117,Income,955
5118,Income,942
5119,Income,936
5120,Income,934
5121,Income,928
5122,Income,924
5123,Income,918
5124,Income,903
5125,Income,898
5126,Income,916
5127,Income,917
5128,Income,913
5129,Income,927
5130,Income,1230
5131,Income,1234
5132,Income,1247
5133,Income,1245
5134,Income,1246
5135,Income,1248
5136,Income,1253
5137,Income,1253
5138,Income,1256
5139,Income,1251
5140,Income,1270
5141,Income,1274
5142,Income,1295
5143,Income,1339
5144,Income,1406
5145,Income,420
5146,Income,390
5147,Income,380
5148,Income,380
5149,Income,398
5150,Income,424
5151,Income,361
5152,Income,390
5153,Income,358
5154,Income,316
5155,Income,307
5156,Income,358
5157,Income,343
5158,Income,369
5159,Income,304
5160,Income,987
5161,Income,989
5162,Income,978
5163,Income,964
5164,Income,956
5165,Income,953
5166,Income,954
5167,Income,945
5168,Income,943
5169,Income,931
5170,Income,927
5171,Income,940
5172,Income,943
5173,Income,934
5174,Income,956
5175,Income,1029
5176,Income,1031
5177,Income,1042
5178,Income,1054
5179,Income,1053
5180,Income,1044
5181,Income,1049
5182,Income,1081
5183,Income,1070
5184,Income,1072
5185,Income,1091
5186,Income,1107
5187,Income,1101
5188,Income,1111
5189,Income,1132
5190,Income,590
5191,Income,541
5192,Income,545
5193,Income,544
5194,Income,498
5195,Income,476
5196,Income,498
5197,Income,514
5198,Income,476
5199,Income,416
5200,Income,436
5201,Income,460
5202,Income,421
5203,Income,373
5204,Income,401
5205,Income,1018
5206,Income,1053
5207,Income,1038
5208,Income,1028
5209,Income,1039
5210,Income,1036
5211,Income,1042
5212,Income,1042
5213,Income,1046
5214,Income,1060
5215,Income,1089
5216,Income,1120
5217,Income,1137
5218,Income,1193
5219,Income,1232
5220,Income,1053
5221,Income,1063
5222,Income,1064
5223,Income,1073
5224,Income,1076
5225,Income,1088
5226,Income,1079
5227,Income,1098
5228,Income,1110
5229,Income,1143
5230,Income,1178
5231,Income,1193
5232,Income,1200
5233,Income,1228
5234,Income,1260
5235,Income,1010
5236,Income,1023
5237,Income,1034
5238,Income,1029
5239,Income,1031
5240,Income,1018
5241,Income,1031
5242,Income,1041
5243,Income,1038
5244,Income,1037
5245,Income,1042
5246,Income,1051
5247,Income,1051
5248,Income,1063
5249,Income,1045
5250,Income,1244
5251,Income,1258
5252,Income,1281
5253,Income,1311
5254,Income,1309
5255,Income,1327
5256,Income,1319
5257,Income,1363
5258,Income,1333
5259,Income,1369
5260,Income,1362
5261,Income,1387
5262,Income,1372
5263,Income,1418
5264,Income,1435
5265,Income,1236
5266,Income,1232
5267,Income,1259
5268,Income,1324
5269,Income,1383
5270,Income,1297
5271,Income,1269
5272,Income,1506
5273,Income,1488
5274,Income,1504
5275,Income,1577
5276,Income,1568
5277,Income,1603
5278,Income,1608
5279,Income,1772
5280,Income,991
5281,Income,991
5282,Income,994
5283,Income,994
5284,Income,973
5285,Income,973
5286,Income,980
5287,Income,982
5288,Income,999
5289,Income,999
5290,Income,1002
5291,Income,1002
5292,Income,1016
5293,Income,1016
5294,Income,1024
5295,Income,1088
5296,Income,1088
5297,Income,1114
5298,Income,1114
5299,Income,1114
5300,Income,1114
5301,Income,1146
5302,Income,1152
5303,Income,1152
5304,Income,1152
5305,Income,1172
5306,Income,1172
5307,Income,1172
5308,Income,1172
5309,Income,1219
5310,Income,1149
5311,Income,1149
5312,Income,1149
5313,Income,1149
5314,Income,1026
5315,Income,1026
5316,Income,1026
5317,Income,1026
5318,Income,1082
5319,Income,1082
5320,Income,1082
5321,Income,1082
5322,Income,1115
5323,Income,1115
5324,Income,1115
5325,Income,916
5326,Income,916
5327,Income,916
5328,Income,916
5329,Income,923
5330,Income,923
5331,Income,923
5332,Income,923
5333,Income,936
5334,Income,936
5335,Income,936
5336,Income,936
5337,Income,948
5338,Income,948
5339,Income,948
5340,Income,1170
5341,Income,1170
5342,Income,1170
5343,Income,1170
5344,Income,1143
5345,Income,1143
5346,Income,1143
5347,Income,1143
5348,Income,1116
5349,Income,1116
5350,Income,1116
5351,Income,1116
5352,Income,1127
5353,Income,1127
5354,Income,1127
5355,Income,1132
5356,Income,1146
5357,Income,1155
5358,Income,1164
5359,Income,1170
5360,Income,1176
5361,Income,1176
5362,Income,1181
5363,Income,1197
5364,Income,1215
5365,Income,1231
5366,Income,1242
5367,Income,1256
5368,Income,1265
5369,Income,1277
5370,Income,979
5371,Income,981
5372,Income,981
5373,Income,992
5374,Income,999
5375,Income,1003
5376,Income,985
5377,Income,987
5378,Income,990
5379,Income,998
5380,Income,1015
5381,Income,1034
5382,Income,1055
5383,Income,1074
5384,Income,1086
5385,Income,1064
5386,Income,1049
5387,Income,1059
5388,Income,1092
5389,Income,1083
5390,Income,1066
5391,Income,1099
5392,Income,1100
5393,Income,1086
5394,Income,1085
5395,Income,1088
5396,Income,1090
5397,Income,1095
5398,Income,1088
5399,Income,1119
5400,Income,1222
5401,Income,1246
5402,Income,1263
5403,Income,1272
5404,Income,1277
5405,Income,1284
5406,Income,1285
5407,Income,1287
5408,Income,1295
5409,Income,1308
5410,Income,1323
5411,Income,1334
5412,Income,1342
5413,Income,1347
5414,Income,1353
5415,Income,813
5416,Income,810
5417,Income,774
5418,Income,764
5419,Income,764
5420,Income,764
5421,Income,764
5422,Income,765
5423,Income,763
5424,Income,761
5425,Income,756
5426,Income,718
5427,Income,718
5428,Income,698
5429,Income,732
5430,Income,1190
5431,Income,1190
5432,Income,1204
5433,Income,1208
5434,Income,1216
5435,Income,1230
5436,Income,1241
5437,Income,1253
5438,Income,1303
5439,Income,1344
5440,Income,1366
5441,Income,1383
5442,Income,1419
5443,Income,1444
5444,Income,1460
5445,Income,1114
5446,Income,1103
5447,Income,1076
5448,Income,1051
5449,Income,1046
5450,Income,1023
5451,Income,962
5452,Income,929
5453,Income,936
5454,Income,948
5455,Income,946
5456,Income,1003
5457,Income,1125
5458,Income,1239
5459,Income,1309
5460,Income,1114
5461,Income,1103
5462,Income,1076
5463,Income,1051
5464,Income,1046
5465,Income,1023
5466,Income,962
5467,Income,929
5468,Income,936
5469,Income,948
5470,Income,946
5471,Income,1003
5472,Income,1125
5473,Income,1239
5474,Income,1309
5475,Income,1062
5476,Income,1069
5477,Income,1078
5478,Income,1082
5479,Income,1091
5480,Income,1086
5481,Income,1091
5482,Income,1092
5483,Income,1102
5484,Income,1113
5485,Income,1134
5486,Income,1146
5487,Income,1171
5488,Income,1189
5489,Income,1213
5490,Income,1030
5491,Income,1032
5492,Income,1047
5493,Income,1042
5494,Income,1065
5495,Income,1074
5496,Income,1085
5497,Income,1066
5498,Income,1072
5499,Income,1087
5500,Income,1118
5501,Income,1112
5502,Income,1148
5503,Income,1162
5504,Income,1211
5505,Income,1044
5506,Income,1033
5507,Income,1049
5508,Income,999
5509,Income,1050
5510,Income,1089
5511,Income,1209
5512,Income,1077
5513,Income,1080
5514,Income,1149
5515,Income,1274
5516,Income,1154
5517,Income,1264
5518,Income,1247
5519,Income,1445
5520,Income,1015
5521,Income,1019
5522,Income,1054
5523,Income,1067
5524,Income,1086
5525,Income,1067
5526,Income,1069
5527,Income,1067
