year,id,protocol_id,index
2019,4965,Income,967
2019,4966,Income,985
2019,4967,Income,976
2019,6600,Income,1106
2019,6588,Income,1151
2019,6587,Income,1144
2019,6586,Income,1129
2019,6585,Income,1121
2019,6573,Income,991
2019,6572,Income,998
2019,6045,Income,1232
2019,6046,Income,1236
2019,6047,Income,1247
2019,6048,Income,1245
2019,4968,Income,985
2019,4680,Income,1032
2019,4681,Income,1038
2019,4682,Income,1044
2019,6571,Income,1003
2019,6570,Income,999
2019,6558,Income,1002
2019,6557,Income,988
2019,6556,Income,996
2019,6555,Income,987
2019,6543,Income,1000
2019,6060,Income,451
2019,6061,Income,402
2019,6062,Income,390
2019,6063,Income,386
2019,4683,Income,1033
2019,8461,Income,1145
2019,8460,Income,1139
2019,8448,Income,1140
2019,6542,Income,989
2019,6541,Income,997
2019,6540,Income,988
2019,6528,Income,1628
2019,6527,Income,1628
2019,6526,Income,1628
2019,6525,Income,1626
2019,6075,Income,943
2019,6076,Income,945
2019,6077,Income,936
2019,6078,Income,922
2019,8447,Income,1131
2019,8446,Income,1123
2019,8445,Income,1112
2019,8433,Income,1140
2019,6513,Income,1029
2019,6512,Income,1039
2019,6511,Income,1034
2019,6510,Income,1027
2019,6498,Income,1247
2019,6497,Income,1253
2019,6496,Income,1250
2019,6090,Income,1010
2019,6091,Income,1008
2019,6092,Income,1014
2019,6093,Income,1026
2019,4980,Income,1026
2019,4981,Income,1031
2019,4982,Income,1033
2019,4983,Income,1040
2019,6495,Income,1245
2019,6483,Income,1144
2019,6482,Income,1136
2019,6481,Income,1128
2019,6480,Income,1112
2019,6468,Income,1038
2019,6467,Income,1053
2019,6105,Income,575
2019,6106,Income,532
2019,6107,Income,540
2019,6108,Income,537
2019,9092,Income,1152
2019,4605,Income,1029
2019,4606,Income,1034
2019,4607,Income,1066
2019,6466,Income,1035
2019,6465,Income,1028
2019,6453,Income,1007
2019,6452,Income,1006
2019,6451,Income,999
2019,6450,Income,997
2019,6438,Income,1075
2019,6120,Income,1085
2019,6121,Income,1096
2019,6122,Income,1109
2019,6123,Income,1107
2019,8432,Income,1131
2019,8431,Income,1123
2019,8430,Income,1112
2019,8418,Income,1165
2019,6437,Income,1063
2019,6436,Income,1030
2019,6435,Income,1024
2019,6423,Income,1002
2019,6422,Income,1060
2019,6421,Income,1039
2019,6420,Income,1048
2019,6135,Income,1022
2019,6136,Income,1033
2019,6137,Income,1031
2019,6138,Income,1037
2019,8417,Income,1161
2019,8416,Income,1141
2019,8415,Income,1136
2019,4995,Income,990
2019,6408,Income,1048
